Customer ID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_SCORE,Segment
12346.0,165,33,372.86,2,3,2,232,At_Risk
12347.0,3,71,1323.32,5,4,4,544,Champions
12348.0,74,20,222.16,2,2,1,221,Hibernating
12349.0,43,102,2671.1400000000003,3,4,5,345,Loyal_Customers
12351.0,11,21,300.93,5,2,2,522,Potential_Loyalists
12352.0,11,18,343.79999999999995,5,2,2,522,Potential_Loyalists
12353.0,44,20,317.75999999999993,3,2,2,322,About_to_Sleep
12355.0,203,22,488.21,1,2,2,122,Hibernating
12356.0,16,84,3562.2499999999995,4,4,5,445,Loyal_Customers
12357.0,24,165,12079.990000000002,4,5,5,455,Loyal_Customers
12358.0,11,58,2719.01,5,3,5,535,Potential_Loyalists
12359.0,61,117,2563.36,3,4,5,345,Loyal_Customers
12360.0,15,88,1590.83,5,4,4,544,Champions
12361.0,98,19,321.35,2,2,2,222,Hibernating
12362.0,374,1,130.0,1,1,1,111,Hibernating
12366.0,269,3,500.24,1,1,2,112,Hibernating
12368.0,264,18,917.6999999999999,1,2,3,123,Hibernating
12369.0,49,93,1791.1499999999999,3,4,4,344,Loyal_Customers
12370.0,260,35,774.62,1,3,3,133,At_Risk
12371.0,45,104,2179.42,3,4,5,345,Loyal_Customers
12373.0,260,37,763.0500000000001,1,3,3,133,At_Risk
12374.0,57,50,2246.29,3,3,5,335,Need_Attention
12376.0,25,13,503.15000000000003,4,1,2,412,Promising
12377.0,17,75,1798.2,4,4,4,444,Loyal_Customers
12378.0,198,82,1407.7,1,4,4,144,At_Risk
12379.0,58,41,767.98,3,3,3,333,Need_Attention
12380.0,101,173,6951.49,2,5,5,255,Cant_Loose
12385.0,15,65,1938.3999999999999,5,4,4,544,Champions
12386.0,2,8,258.9,5,1,2,512,New_Customers
12387.0,51,9,143.94,3,1,1,311,About_to_Sleep
12388.0,81,46,1120.45,2,3,4,234,At_Risk
12389.0,38,49,1433.33,3,3,4,334,Need_Attention
12391.0,100,181,2312.5299999999997,2,5,5,255,Cant_Loose
12392.0,227,7,234.75000000000003,1,1,1,111,Hibernating
12393.0,18,43,816.8500000000001,4,3,3,433,Potential_Loyalists
12395.0,7,98,2048.6400000000003,5,4,4,544,Champions
12396.0,310,65,931.4300000000001,1,4,3,143,At_Risk
12399.0,21,51,853.65,4,3,3,433,Potential_Loyalists
12400.0,50,11,205.25,3,1,1,311,About_to_Sleep
12402.0,28,59,1031.3000000000002,4,3,4,434,Potential_Loyalists
12403.0,157,4,591.6600000000001,2,1,3,213,Hibernating
12404.0,318,1,63.24,1,1,1,111,Hibernating
12406.0,35,61,2975.0599999999995,4,3,5,435,Potential_Loyalists
12408.0,21,54,1452.2199999999998,4,3,4,434,Potential_Loyalists
12409.0,56,155,12346.619999999999,3,5,5,355,Loyal_Customers
12410.0,138,14,320.38,2,1,2,212,Hibernating
12411.0,45,22,346.9,3,2,2,322,About_to_Sleep
12412.0,38,66,1370.0500000000002,3,4,4,344,Loyal_Customers
12413.0,38,13,241.35,3,1,1,311,About_to_Sleep
12414.0,99,10,390.0,2,1,2,212,Hibernating
12415.0,11,212,19543.84,5,5,5,555,Champions
12416.0,292,11,202.56,1,1,1,111,Hibernating
12417.0,46,179,3167.81,3,5,5,355,Loyal_Customers
12418.0,49,68,1352.62,3,4,4,344,Loyal_Customers
12419.0,21,25,503.01,4,2,2,422,Potential_Loyalists
12421.0,51,20,291.56,3,2,2,322,About_to_Sleep
12422.0,30,133,4428.24,4,5,5,455,Loyal_Customers
12423.0,23,40,763.08,4,3,3,433,Potential_Loyalists
12424.0,58,62,1579.0700000000006,3,4,4,344,Loyal_Customers
12425.0,84,55,964.2099999999999,2,3,3,233,At_Risk
12426.0,298,47,762.4800000000002,1,3,3,133,At_Risk
12427.0,7,10,303.5,5,1,2,512,New_Customers
12429.0,1,76,3735.5099999999998,5,4,5,545,Champions
12431.0,9,170,4370.52,5,5,5,555,Champions
12433.0,2,286,7205.389999999999,5,5,5,555,Champions
12434.0,17,20,297.29,4,2,2,422,Potential_Loyalists
12435.0,32,76,6096.040000000001,4,4,5,445,Loyal_Customers
12437.0,31,364,7731.99,4,5,5,455,Loyal_Customers
12439.0,318,72,1158.18,1,4,4,144,At_Risk
12440.0,98,32,859.1999999999999,2,2,3,223,Hibernating
12441.0,2,11,173.55,5,1,1,511,New_Customers
12443.0,368,21,485.31,1,2,2,122,Hibernating
12445.0,56,20,301.58000000000004,3,2,2,322,About_to_Sleep
12449.0,46,10,768.6,3,1,3,313,About_to_Sleep
12450.0,35,29,490.32,4,2,2,422,Potential_Loyalists
12451.0,99,157,3634.3599999999997,2,5,5,255,Cant_Loose
12454.0,31,25,13151.439999999999,4,2,5,425,Potential_Loyalists
12455.0,81,137,3413.09,2,5,5,255,Cant_Loose
12457.0,71,22,632.68,3,2,3,323,About_to_Sleep
12458.0,63,46,830.09,3,3,3,333,Need_Attention
12459.0,241,23,454.3599999999999,1,2,2,122,Hibernating
12460.0,92,18,326.65,2,2,2,222,Hibernating
12466.0,318,1,56.73,1,1,1,111,Hibernating
12467.0,59,9,132.8,3,1,1,311,About_to_Sleep
12468.0,162,112,2941.2,2,4,5,245,At_Risk
12469.0,158,76,3070.54,2,4,5,245,At_Risk
12470.0,325,23,211.95,1,2,1,121,Hibernating
12471.0,10,678,20139.739999999998,5,5,5,555,Champions
12472.0,5,572,11308.48,5,5,5,555,Champions
12474.0,14,286,5048.66,5,5,5,555,Champions
12475.0,45,25,426.26,3,2,2,322,About_to_Sleep
12476.0,32,283,7298.99,4,5,5,455,Loyal_Customers
12477.0,35,264,7056.629999999999,4,5,5,455,Loyal_Customers
12480.0,35,88,2183.2200000000003,4,4,5,445,Loyal_Customers
12481.0,1,174,6765.07,5,5,5,555,Champions
12482.0,212,204,23691.4,1,5,5,155,Cant_Loose
12483.0,14,64,2635.6000000000004,5,4,5,545,Champions
12484.0,119,129,1828.4299999999998,2,5,4,254,Cant_Loose
12485.0,165,34,708.1000000000001,2,3,3,233,At_Risk
12486.0,67,49,1037.2800000000002,3,3,4,334,Need_Attention
12487.0,366,2,285.29999999999995,1,1,2,112,Hibernating
12490.0,14,217,4405.709999999999,5,5,5,555,Champions
12492.0,39,22,452.00000000000006,3,2,2,322,About_to_Sleep
12494.0,1,34,626.77,5,3,3,533,Potential_Loyalists
12495.0,276,17,357.4,1,2,2,122,Hibernating
12496.0,256,13,54.09,1,1,1,111,Hibernating
12497.0,36,43,5205.400000000001,4,3,5,435,Potential_Loyalists
12499.0,196,27,393.71999999999997,1,2,2,122,Hibernating
12500.0,71,85,1697.39,3,4,4,344,Loyal_Customers
12503.0,220,2,1126.0,1,1,4,114,Hibernating
12504.0,53,11,297.00000000000006,3,1,2,312,About_to_Sleep
12505.0,44,42,955.1999999999999,3,3,3,333,Need_Attention
12507.0,220,28,539.25,1,2,3,123,Hibernating
12510.0,95,112,4195.450000000001,2,4,5,245,At_Risk
12511.0,64,190,3084.0200000000004,3,5,5,355,Loyal_Customers
12514.0,277,33,580.0799999999999,1,3,3,133,At_Risk
12516.0,66,48,1336.56,3,3,4,334,Need_Attention
12519.0,112,22,385.7,2,2,2,222,Hibernating
12523.0,10,144,2582.38,5,5,5,555,Champions
12524.0,24,96,6640.389999999999,4,4,5,445,Loyal_Customers
12525.0,134,60,973.7300000000001,2,3,3,233,At_Risk
12527.0,130,14,386.8,2,1,2,212,Hibernating
12529.0,164,21,316.47999999999996,2,2,2,222,Hibernating
12530.0,51,92,2096.98,3,4,4,344,Loyal_Customers
12531.0,322,110,1807.9799999999996,1,4,4,144,At_Risk
12533.0,263,72,1367.89,1,4,4,144,At_Risk
12537.0,44,43,732.94,3,3,3,333,Need_Attention
12538.0,14,13,276.5,5,1,2,512,New_Customers
12539.0,86,231,5646.4,2,5,5,255,Cant_Loose
12540.0,14,293,8854.25,5,5,5,555,Champions
12542.0,120,39,481.88,2,3,2,232,At_Risk
12543.0,84,43,980.25,2,3,3,233,At_Risk
12547.0,136,13,175.77999999999997,2,1,1,211,Hibernating
12549.0,211,49,1575.6799999999998,1,3,4,134,At_Risk
12553.0,21,47,916.47,4,3,3,433,Potential_Loyalists
12554.0,84,26,468.5,2,2,2,222,Hibernating
12555.0,318,1,129.23,1,1,1,111,Hibernating
12557.0,7,25,6725.18,5,2,5,525,Potential_Loyalists
12562.0,21,39,1185.18,4,3,4,434,Potential_Loyalists
12563.0,44,13,249.24,3,1,1,311,About_to_Sleep
12567.0,3,193,4308.58,5,5,5,555,Champions
12568.0,280,5,70.0,1,1,1,111,Hibernating
12570.0,318,1,77.52,1,1,1,111,Hibernating
12573.0,17,91,556.8700000000001,4,4,3,443,Loyal_Customers
12575.0,93,38,622.8199999999999,2,3,3,233,At_Risk
12576.0,28,54,826.8900000000001,4,3,3,433,Potential_Loyalists
12577.0,17,155,995.95,4,5,4,454,Loyal_Customers
12578.0,21,58,1847.9400000000003,4,3,4,434,Potential_Loyalists
12580.0,212,34,637.2,1,3,3,133,At_Risk
12582.0,58,81,1469.04,3,4,4,344,Loyal_Customers
12583.0,9,219,7166.0599999999995,5,5,5,555,Champions
12586.0,10,83,1865.73,5,4,4,544,Champions
12588.0,35,36,743.8800000000001,4,3,3,433,Potential_Loyalists
12589.0,57,145,4048.9799999999996,3,5,5,355,Loyal_Customers
12591.0,26,43,899.3,4,3,3,433,Potential_Loyalists
12592.0,155,63,2145.0599999999995,2,4,4,244,At_Risk
12594.0,14,81,1751.8899999999999,5,4,4,544,Champions
12595.0,140,19,299.02000000000004,2,2,2,222,Hibernating
12598.0,99,74,1511.0100000000002,2,4,4,244,At_Risk
12599.0,17,71,1264.1399999999999,4,4,4,444,Loyal_Customers
12600.0,7,68,2444.88,5,4,5,545,Champions
12601.0,40,6,104.2,3,1,1,311,About_to_Sleep
12605.0,12,76,1232.95,5,4,4,544,Champions
12606.0,318,1,21.0,1,1,1,111,Hibernating
12608.0,40,16,415.78999999999996,3,2,2,322,About_to_Sleep
12609.0,10,115,2309.0099999999998,5,4,5,545,Champions
12613.0,24,174,3490.69,4,5,5,455,Loyal_Customers
12615.0,49,165,3449.79,3,5,5,355,Loyal_Customers
12616.0,24,22,417.79999999999995,4,2,2,422,Potential_Loyalists
12619.0,196,10,140.14,1,1,1,111,Hibernating
12621.0,1,303,11086.14,5,5,5,555,Champions
12623.0,52,156,3442.74,3,5,5,355,Loyal_Customers
12625.0,145,97,2481.06,2,4,5,245,At_Risk
12629.0,21,45,1558.2199999999998,4,3,4,434,Potential_Loyalists
12631.0,92,152,2841.07,2,5,5,255,Cant_Loose
12632.0,156,35,804.88,2,3,3,233,At_Risk
12633.0,18,205,3514.18,4,5,5,455,Loyal_Customers
12634.0,171,20,490.0,2,2,2,222,Hibernating
12635.0,28,78,1241.23,4,4,4,444,Loyal_Customers
12636.0,374,1,141.0,1,1,1,111,Hibernating
12637.0,14,245,2318.41,5,5,5,555,Champions
12638.0,275,9,249.8,1,1,1,111,Hibernating
12639.0,70,42,826.2700000000001,3,3,3,333,Need_Attention
12643.0,21,28,5005.78,4,2,5,425,Potential_Loyalists
12644.0,66,80,1440.5800000000002,3,4,4,344,Loyal_Customers
12645.0,45,87,1764.1200000000001,3,4,4,344,Loyal_Customers
12647.0,3,434,14201.529999999999,5,5,5,555,Champions
12648.0,73,44,793.95,2,3,3,233,At_Risk
12649.0,18,87,1671.1400000000003,4,4,4,444,Loyal_Customers
12651.0,14,21,263.75,5,2,2,522,Potential_Loyalists
12652.0,70,3,97.05000000000001,3,1,1,311,About_to_Sleep
12653.0,162,43,1950.98,2,3,4,234,At_Risk
12655.0,59,16,261.35,3,2,2,322,About_to_Sleep
12656.0,61,121,2356.66,3,4,5,345,Loyal_Customers
